SubsetSize,Feature Groups,Model,R2,MSE
1,Magenta,Lasso,0.4101581930607153,92.48224572965626
1,Magenta,ElasticNet,0.4108952451701783,92.36668214379138
1,Magenta,BayesianRidge,0.411023004416351,92.34665056607042
1,Magenta,ARDRegression,0.4110230044163514,92.34665056607034
1,Magenta,HuberRegressor,0.4067554436346731,93.0157682858288
1,Magenta,RANSACRegressor,0.18210128667598524,128.2396549341022
1,Magenta,PassiveAggressiveRegressor,0.08799262894501636,142.99510276294603
1,Magenta,LinearSVR,-0.20236814181499074,188.52123508480008
1,Brightness,LinearRegression,0.4116743244029958,92.24452905765092
1,Brightness,Ridge,0.41166259422211093,92.24636825158102
1,Brightness,Lasso,0.40714478942176113,92.95472213356956
1,Brightness,ElasticNet,0.4078391115683525,92.84585824731874
1,Brightness,BayesianRidge,0.4102791914628663,92.46327419554494
1,Brightness,ARDRegression,0.41027919146286707,92.46327419554483
1,Brightness,HuberRegressor,0.4088269694418655,92.69097042226228
1,Brightness,RANSACRegressor,0.47928413070474263,81.64387877045242
1,Brightness,PassiveAggressiveRegressor,-0.44712890471974664,226.89766882284775
1,Brightness,LinearSVR,-0.376634174061272,215.84468660506798
1,Chroma,LinearRegression,0.11202089973839069,139.22767153337176
1,Chroma,Ridge,0.112010644258421,139.2292795065732
1,Chroma,Lasso,0.1086810319042879,139.7513347835928
1,Chroma,ElasticNet,0.10893551342367547,139.711434216809
1,Chroma,BayesianRidge,0.1109957655084749,139.38840397831137
1,Chroma,ARDRegression,0.1109957655084749,139.38840397831137
1,Chroma,HuberRegressor,0.06891478789208472,145.98634815025403
1,Chroma,RANSACRegressor,-0.04445464674064992,163.76172417241517
1,Chroma,PassiveAggressiveRegressor,0.09510461123830816,141.8800036188447
1,Chroma,LinearSVR,0.08948915023371218,142.76046078278696
2,Lab+HSV,LinearRegression,0.7364049414701983,41.329493245950225
2,Lab+HSV,Ridge,0.7397177525841182,40.81007226241012
2,Lab+HSV,Lasso,0.7037457481804065,46.45018069744139
2,Lab+HSV,ElasticNet,0.7137292803672131,44.884846626360144
2,Lab+HSV,BayesianRidge,0.7416799569585628,40.50241508213861
2,Lab+HSV,ARDRegression,0.7434399075776968,40.22646959350767
2,Lab+HSV,HuberRegressor,0.7332733613037171,41.82049873771328
2,Lab+HSV,RANSACRegressor,0.5403307813488187,72.07227621631357
2,Lab+HSV,PassiveAggressiveRegressor,0.31469682342101835,107.44978743464218
2,Lab+HSV,LinearSVR,-0.9349660890832254,303.3864456941876
2,Lab+RGB,LinearRegression,0.7418038351659961,40.48299201872463
