Feature Group,R2_Train,R2_Test,MSE_Test
"('RGB', 'GRAY', 'LBP')",0.767068934269317,0.8113744568361188,29.574902335750505
"('RGB', 'GRAY', 'Temp')",0.7454001634509293,0.8591525840460947,22.08369291459361
"('RGB', 'GRAY', 'Yellow')",0.5989170838604811,0.7086420955308923,45.68247452009342
"('RGB', 'GRAY', 'Cyan')",0.5989170838604796,0.7086420955308821,45.68247452009501
"('RGB', 'GRAY', 'Magenta')",0.5989170838604776,0.7086420955308959,45.682474520092846
"('RGB', 'GRAY', 'Brightness')",0.5989170838604858,0.708642095530881,45.68247452009518
"('RGB', 'GRAY', 'Chroma')",0.5989633530727475,0.7073995471538967,45.87729567888609
"('RGB', 'GRAY', 'Day')",0.7175071981686393,0.7835861452617259,33.93187640778298
"('RGB', 'GLCM', 'LBP')",0.7852917979103436,0.8181392075907978,28.514246183144984
"('RGB', 'GLCM', 'Temp')",0.7820964105384347,0.8645795922648019,21.232783566096035
"('RGB', 'GLCM', 'Yellow')",0.6786608831628271,0.7429159608970574,40.308620036385875
"('RGB', 'GLCM', 'Cyan')",0.6786608831628269,0.7429159608970555,40.30862003638615
"('RGB', 'GLCM', 'Magenta')",0.6786608831628271,0.7429159608970561,40.30862003638607
"('RGB', 'GLCM', 'Brightness')",0.6786608831628269,0.742915960897057,40.308620036385925
"('RGB', 'GLCM', 'Chroma')",0.6787191268283017,0.744921612086543,39.99415076009553
"('RGB', 'GLCM', 'Day')",0.7848083273232278,0.8340050057069309,26.026622174790525
"('RGB', 'LBP', 'Temp')",0.8362986472550139,0.890388348566862,17.186187149525598
"('RGB', 'LBP', 'Yellow')",0.7479672067045853,0.7902883146778343,32.88103248392031
"('RGB', 'LBP', 'Cyan')",0.747967206704585,0.7902883146778328,32.88103248392054
"('RGB', 'LBP', 'Magenta')",0.7479672067045852,0.7902883146778337,32.881032483920414
"('RGB', 'LBP', 'Brightness')",0.7479672067045852,0.7902883146778339,32.88103248392037
"('RGB', 'LBP', 'Chroma')",0.7485757496030498,0.7965092531389981,31.90564153559162
"('RGB', 'LBP', 'Day')",0.8186815225789521,0.8321894606766819,26.31128440056937
"('RGB', 'Temp', 'Yellow')",0.7442906876200042,0.8587844288237113,22.14141656412567
"('RGB', 'Temp', 'Cyan')",0.744290687620004,0.8587844288237112,22.141416564125684
"('RGB', 'Temp', 'Magenta')",0.7442906876200043,0.8587844288237115,22.14141656412563
"('RGB', 'Temp', 'Brightness')",0.7442906876200042,0.8587844288237114,22.141416564125645
"('RGB', 'Temp', 'Chroma')",0.7463780291847684,0.8520651087199724,23.194949571890515
