Model,Feature_Groups,R² Score
Lasso,"('Lab', 'Magenta')",0.546334552165725
ElasticNet,"('Lab', 'Magenta')",0.49765614272348324
BayesianRidge,"('Lab', 'Magenta')",0.7128247454392773
ARDRegression,"('Lab', 'Magenta')",0.7300600241283719
HuberRegressor,"('Lab', 'Magenta')",0.7168860237619807
RANSACRegressor,"('Lab', 'Magenta')",0.31907788576423735
PassiveAggressiveRegressor,"('Lab', 'Magenta')",0.5304424413609585
LinearSVR,"('Lab', 'Magenta')",0.6711189449479837
LinearRegression,"('Lab', 'Brightness')",0.7287773156396649
Ridge,"('Lab', 'Brightness')",0.714925206856172
Lasso,"('Lab', 'Brightness')",0.5393576168716132
ElasticNet,"('Lab', 'Brightness')",0.4958398485067378
BayesianRidge,"('Lab', 'Brightness')",0.7128187753344674
ARDRegression,"('Lab', 'Brightness')",0.7300604523729751
HuberRegressor,"('Lab', 'Brightness')",0.7190226098914402
RANSACRegressor,"('Lab', 'Brightness')",0.44552430937845744
PassiveAggressiveRegressor,"('Lab', 'Brightness')",0.5411322624441579
LinearSVR,"('Lab', 'Brightness')",0.672378314765508
LinearRegression,"('Lab', 'Chroma')",0.7330958398181426
Ridge,"('Lab', 'Chroma')",0.714975848448882
Lasso,"('Lab', 'Chroma')",0.5295592928166558
ElasticNet,"('Lab', 'Chroma')",0.48603220819997384
BayesianRidge,"('Lab', 'Chroma')",0.7122464980692835
ARDRegression,"('Lab', 'Chroma')",0.7300635265973479
HuberRegressor,"('Lab', 'Chroma')",0.7307090386932789
RANSACRegressor,"('Lab', 'Chroma')",0.3566245479228214
PassiveAggressiveRegressor,"('Lab', 'Chroma')",0.6559417793755525
LinearSVR,"('Lab', 'Chroma')",0.6751728808123051
LinearRegression,"('HSV', 'RGB')",0.6966644109386251
Ridge,"('HSV', 'RGB')",0.73833577502021
Lasso,"('HSV', 'RGB')",0.6086359084107433
ElasticNet,"('HSV', 'RGB')",0.5940724969760234
BayesianRidge,"('HSV', 'RGB')",0.7381962656984034
ARDRegression,"('HSV', 'RGB')",0.7375570709947301
HuberRegressor,"('HSV', 'RGB')",0.6902811954634802
RANSACRegressor,"('HSV', 'RGB')",-0.05217030990030791
PassiveAggressiveRegressor,"('HSV', 'RGB')",0.6382959189497015
LinearSVR,"('HSV', 'RGB')",0.7263508713153144
LinearRegression,"('HSV', 'GLCM')",0.812931845429748
Ridge,"('HSV', 'GLCM')",0.8139898178511387
Lasso,"('HSV', 'GLCM')",0.6011357038584646
ElasticNet,"('HSV', 'GLCM')",0.5552273371758705
BayesianRidge,"('HSV', 'GLCM')",0.8159409031138727
ARDRegression,"('HSV', 'GLCM')",0.8188394691457168
HuberRegressor,"('HSV', 'GLCM')",0.81592074889803
RANSACRegressor,"('HSV', 'GLCM')",0.6214077852534994
PassiveAggressiveRegressor,"('HSV', 'GLCM')",0.7220993645266878
LinearSVR,"('HSV', 'GLCM')",0.774250112495813
LinearRegression,"('HSV', 'LBP')",0.8035195925160337
Ridge,"('HSV', 'LBP')",0.7666718301937814
Lasso,"('HSV', 'LBP')",0.5907111788390365
ElasticNet,"('HSV', 'LBP')",0.519328339687426
BayesianRidge,"('HSV', 'LBP')",0.7910079270107545
ARDRegression,"('HSV', 'LBP')",0.7910415944277578
HuberRegressor,"('HSV', 'LBP')",0.7978656174261768
RANSACRegressor,"('HSV', 'LBP')",0.4725986908495945
PassiveAggressiveRegressor,"('HSV', 'LBP')",0.5728336420436557
LinearSVR,"('HSV', 'LBP')",0.710370701658428
LinearRegression,"('HSV', 'Temp')",0.8712364426070542
Ridge,"('HSV', 'Temp')",0.8697363271157175
Lasso,"('HSV', 'Temp')",0.7311816009755889
ElasticNet,"('HSV', 'Temp')",0.6333536836405973
BayesianRidge,"('HSV', 'Temp')",0.8702791582762102
ARDRegression,"('HSV', 'Temp')",0.8709548997312665
HuberRegressor,"('HSV', 'Temp')",0.86871927613288
RANSACRegressor,"('HSV', 'Temp')",0.7935504158057471
PassiveAggressiveRegressor,"('HSV', 'Temp')",0.7979029836483977
LinearSVR,"('HSV', 'Temp')",0.8371566929045994
LinearRegression,"('HSV', 'Yellow')",0.7389329112755252
Ridge,"('HSV', 'Yellow')",0.7352874228122348
Lasso,"('HSV', 'Yellow')",0.5817309560106809
ElasticNet,"('HSV', 'Yellow')",0.509456560063247
BayesianRidge,"('HSV', 'Yellow')",0.7356814763580259
ARDRegression,"('HSV', 'Yellow')",0.7393785493489748
HuberRegressor,"('HSV', 'Yellow')",0.7369827496314068
RANSACRegressor,"('HSV', 'Yellow')",0.3992675382636882
PassiveAggressiveRegressor,"('HSV', 'Yellow')",0.5336500217600777
LinearSVR,"('HSV', 'Yellow')",0.709230006059026
LinearRegression,"('HSV', 'Cyan')",0.7400392272560052
Ridge,"('HSV', 'Cyan')",0.7376781362739859
Lasso,"('HSV', 'Cyan')",0.5866480933534579
ElasticNet,"('HSV', 'Cyan')",0.5065241674234204
BayesianRidge,"('HSV', 'Cyan')",0.7381146635349259
ARDRegression,"('HSV', 'Cyan')",0.7393796117354695
HuberRegressor,"('HSV', 'Cyan')",0.7374743663769074
RANSACRegressor,"('HSV', 'Cyan')",0.647285636315988
PassiveAggressiveRegressor,"('HSV', 'Cyan')",0.3887249464659952
LinearSVR,"('HSV', 'Cyan')",0.7105751199919624
LinearRegression,"('HSV', 'Magenta')",0.7302981895531908
Ridge,"('HSV', 'Magenta')",0.7375108178644294
Lasso,"('HSV', 'Magenta')",0.5772987325461733
ElasticNet,"('HSV', 'Magenta')",0.5091598814086015
BayesianRidge,"('HSV', 'Magenta')",0.7381479767800879
ARDRegression,"('HSV', 'Magenta')",0.7399790710757479
HuberRegressor,"('HSV', 'Magenta')",0.7308930472741094
RANSACRegressor,"('HSV', 'Magenta')",0.6150277245537001
PassiveAggressiveRegressor,"('HSV', 'Magenta')",0.5420544022965902
LinearSVR,"('HSV', 'Magenta')",0.7108716190752151
LinearRegression,"('HSV', 'Brightness')",0.7360544433432743
Ridge,"('HSV', 'Brightness')",0.7365657479752054
Lasso,"('HSV', 'Brightness')",0.5788474027664434
ElasticNet,"('HSV', 'Brightness')",0.5084470009194625
BayesianRidge,"('HSV', 'Brightness')",0.736996795433507
ARDRegression,"('HSV', 'Brightness')",0.7382152842929738
HuberRegressor,"('HSV', 'Brightness')",0.7339239630604716
RANSACRegressor,"('HSV', 'Brightness')",0.4982698913264517
PassiveAggressiveRegressor,"('HSV', 'Brightness')",0.5529026293616657
LinearSVR,"('HSV', 'Brightness')",0.7106218557738588
LinearRegression,"('HSV', 'Chroma')",0.7342110937243473
Ridge,"('HSV', 'Chroma')",0.7362609921308485
Lasso,"('HSV', 'Chroma')",0.5912212587128529
ElasticNet,"('HSV', 'Chroma')",0.4984238156002535
BayesianRidge,"('HSV', 'Chroma')",0.7363903095330124
ARDRegression,"('HSV', 'Chroma')",0.7393790853160114
HuberRegressor,"('HSV', 'Chroma')",0.7336466282384517
RANSACRegressor,"('HSV', 'Chroma')",0.5012095645707124
PassiveAggressiveRegressor,"('HSV', 'Chroma')",0.5312043122958354
LinearSVR,"('HSV', 'Chroma')",0.706299521507975
LinearRegression,"('RGB', 'GLCM')",0.7429159608970571
Ridge,"('RGB', 'GLCM')",0.7513295861781031
Lasso,"('RGB', 'GLCM')",0.62116223521712
ElasticNet,"('RGB', 'GLCM')",0.6026680686431158
BayesianRidge,"('RGB', 'GLCM')",0.7564415197677843
ARDRegression,"('RGB', 'GLCM')",0.759357987031854
HuberRegressor,"('RGB', 'GLCM')",0.7338224179328698
RANSACRegressor,"('RGB', 'GLCM')",0.30555289348620185
PassiveAggressiveRegressor,"('RGB', 'GLCM')",0.6341567524466338
LinearSVR,"('RGB', 'GLCM')",0.7117615217470359
LinearRegression,"('RGB', 'LBP')",0.7866229699081916
Ridge,"('RGB', 'LBP')",0.7505553948311349
Lasso,"('RGB', 'LBP')",0.6157365619216006
ElasticNet,"('RGB', 'LBP')",0.5893618519373578
BayesianRidge,"('RGB', 'LBP')",0.786698183030667
ARDRegression,"('RGB', 'LBP')",0.7761488322078264
HuberRegressor,"('RGB', 'LBP')",0.7818378551195574
RANSACRegressor,"('RGB', 'LBP')",0.37213634455594746
PassiveAggressiveRegressor,"('RGB', 'LBP')",0.7330834742053789
LinearSVR,"('RGB', 'LBP')",0.7010400679622122
LinearRegression,"('RGB', 'Temp')",0.8587844288237114
Ridge,"('RGB', 'Temp')",0.8525276174217812
Lasso,"('RGB', 'Temp')",0.7509642058536286
ElasticNet,"('RGB', 'Temp')",0.6902888212288355
BayesianRidge,"('RGB', 'Temp')",0.8619923541248946
