Label,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,A_Mean,A_Std,B_Lab_Mean,B_Lab_Std
2_15_4,207.73661868455966,46.97845363876279,210.51120458396085,40.87687232979552,202.414969083925,58.10388002989571,63.88515989179934,60.13875359465833,18.738818443416523,41.747647071968686,211.5393931753801,40.997485991285195,213.50764744244836,40.709119142036045,125.52230349971315,6.457108829879693,132.05976136689617,10.470628679807236
2_15_5,201.56010834633176,53.433541379431276,204.77308441354705,47.16271959866352,196.4411098075337,63.18499830595582,70.11621894945856,59.06114446909265,21.265529528829603,41.681495050121235,205.95118117559525,47.41184807099699,207.82522327031342,47.07363138317118,125.2183217243976,6.412211794012321,132.22742409369621,9.833655966446695
2_15_6,205.16706138168746,47.66412782837986,208.40024725016136,41.1860750530223,197.93899868447002,61.28681496483629,64.33246451206612,60.586267607637225,22.955056106120914,48.558153115409425,209.4146980780264,41.3582461375268,211.35935600661574,41.396992882346076,125.01506646003658,7.164484087877651,133.21130857133892,12.265429851593826
2_15_7,216.355776173892,47.44170759703425,219.44743275557587,40.81561364306423,209.46500242039588,61.31340883598174,47.70223466410284,59.08315717037592,20.27074447342943,46.152139769025226,220.1433417262801,40.801740336105745,221.5002032124032,40.6239053079587,125.17555108828171,7.070562959948868,132.93511064346671,12.06587279056107
2_15_8,215.97128161081827,49.97091949201765,219.4919464128837,43.100123453865486,207.7506883000753,65.4391663707135,44.33942920117972,57.22340441701561,23.033390257458407,49.74359524793185,220.09684905918317,43.091242601830864,221.28200923112092,42.88070441483473,124.76890502859654,7.473046857091126,133.77171901893288,13.312685681631585
2_15_9,207.97718636824084,54.06211301386305,211.88239548596172,46.60487556652939,200.74706358917814,67.31739895096871,55.41950743823509,59.094908877325544,24.51550241143144,48.94148775290664,212.7051108451664,46.70846687374164,214.1306895550954,46.54511824476138,124.59684827479562,7.480447109929394,133.55095560814686,12.161206695098757
2_15_10,213.35224273208908,49.735882111028644,216.8481477248279,42.791416606085384,204.70471568192414,65.91248544673947,49.009260815583765,58.757415690381535,24.662684499157344,52.82159058518774,217.55325363955825,42.825848085377636,218.8755115327381,42.836597682008666,124.7195940570317,7.625267893389495,133.99883008596888,13.645080435811446
2_20_1,213.66946037498207,50.10387184400614,217.13185369827525,43.26622849149343,206.18519653390348,64.34012346345399,49.89176023289587,58.72083288123668,22.27027456925918,47.955940278149555,217.83713156196214,43.291525144399614,219.17500481838067,43.033946899541775,124.87819122472031,7.302571198358636,133.39956500107573,12.645389555192848
2_20_2,211.30590005109724,39.44114446751902,214.04807909091724,33.75891586022737,203.52347610307302,55.49871726788801,63.17315528856498,58.80040251483697,20.26916012263339,46.20336574458825,215.06079350885688,33.83374428196886,216.93793852866824,33.63965221291956,125.29720483496486,6.958430710046488,133.1460381705393,13.269974855755425
2_20_3,213.39537704388985,46.32377532459768,216.90506792796185,39.359130373659255,204.2565951305221,63.775941372528415,49.2830050111159,57.552796684245166,24.093611331486663,51.7174956573365,217.65465567627655,39.38004359495018,219.07737210000718,39.2715935395774,124.67819105663726,7.72502513083474,134.18622212062536,14.223515160675438
