Feature Set,Model,MSE,R2 Score
"R_Mean,G_Mean",Lasso Regression,129.90036291021298,0.5012110398117915
"R_Mean,G_Mean",Polynomial Regression,122.62062792651098,0.5291636287162292
"R_Mean,G_Mean",Elastic Net,131.5190790501334,0.4949955241489997
"R_Mean,G_Mean",Huber Regressor,142.99692878067503,0.450923093525765
"R_Mean,G_Mean",Quantile Regressor,180.11766117862973,0.30838760633087237
"R_Mean,G_Mean",Random Forest,162.90861958823604,0.374466559217564
R_Mean:G_Mean,Linear Regression,133.36618111362205,0.4879030565302155
R_Mean:G_Mean,Ridge Regression,130.93274657292588,0.49724691252143294
R_Mean:G_Mean,Lasso Regression,129.90036291021298,0.5012110398117915
R_Mean:G_Mean,Polynomial Regression,122.62062792651098,0.5291636287162292
R_Mean:G_Mean,Elastic Net,131.5190790501334,0.4949955241489997
R_Mean:G_Mean,Huber Regressor,142.99692878067503,0.450923093525765
R_Mean:G_Mean,Quantile Regressor,180.11766117862973,0.30838760633087237
R_Mean:G_Mean,Random Forest,162.90861958823604,0.374466559217564
"R_Mean,B_Mean",Linear Regression,129.45874722883102,0.5029067473647533
"R_Mean,B_Mean",Ridge Regression,129.54465564547266,0.5025768778490097
"R_Mean,B_Mean",Lasso Regression,129.60284682561723,0.5023534364544965
"R_Mean,B_Mean",Polynomial Regression,131.71537950568023,0.4942417733671458
"R_Mean,B_Mean",Elastic Net,131.60377246368498,0.49467031997917466
"R_Mean,B_Mean",Huber Regressor,135.09558394778222,0.48126252818932447
"R_Mean,B_Mean",Quantile Regressor,180.11766117862973,0.30838760633087237
"R_Mean,B_Mean",Random Forest,135.65878610294152,0.47909995519064985
R_Mean:B_Mean,Linear Regression,129.45874722883102,0.5029067473647533
R_Mean:B_Mean,Ridge Regression,129.54465564547266,0.5025768778490097
R_Mean:B_Mean,Lasso Regression,129.60284682561723,0.5023534364544965
R_Mean:B_Mean,Polynomial Regression,131.71537950568023,0.4942417733671458
R_Mean:B_Mean,Elastic Net,131.60377246368498,0.49467031997917466
R_Mean:B_Mean,Huber Regressor,135.09558394778222,0.48126252818932447
R_Mean:B_Mean,Quantile Regressor,180.11766117862973,0.30838760633087237
R_Mean:B_Mean,Random Forest,135.65878610294152,0.47909995519064985
"R_Mean,H_Mean",Linear Regression,115.63952748671561,0.5559695263390234
"R_Mean,H_Mean",Ridge Regression,115.9344807938821,0.5548369702006903
"R_Mean,H_Mean",Lasso Regression,116.492656152048,0.5526936990021742
"R_Mean,H_Mean",Polynomial Regression,109.36089352131508,0.5800781064603056
"R_Mean,H_Mean",Elastic Net,120.7317980709941,0.5364163219227671
"R_Mean,H_Mean",Huber Regressor,126.2292297498544,0.5153073875874585
"R_Mean,H_Mean",Quantile Regressor,180.11766117862973,0.30838760633087237
"R_Mean,H_Mean",Random Forest,156.82400692647036,0.39783014000145955
R_Mean:H_Mean,Linear Regression,115.63952748671561,0.5559695263390234
R_Mean:H_Mean,Ridge Regression,115.9344807938821,0.5548369702006903
R_Mean:H_Mean,Lasso Regression,116.492656152048,0.5526936990021742
R_Mean:H_Mean,Polynomial Regression,109.36089352131508,0.5800781064603056
R_Mean:H_Mean,Elastic Net,120.7317980709941,0.5364163219227671
R_Mean:H_Mean,Huber Regressor,126.2292297498544,0.5153073875874585
R_Mean:H_Mean,Quantile Regressor,180.11766117862973,0.30838760633087237
R_Mean:H_Mean,Random Forest,156.82400692647036,0.39783014000145955
"R_Mean,S_Mean",Linear Regression,129.1998600552744,0.5039008174444006
"R_Mean,S_Mean",Ridge Regression,129.26726135026954,0.5036420112248274
"R_Mean,S_Mean",Lasso Regression,129.09893285531294,0.504288355800689
"R_Mean,S_Mean",Polynomial Regression,135.68435224429874,0.4790017868039118
"R_Mean,S_Mean",Elastic Net,130.45306489026504,0.499088785187186
"R_Mean,S_Mean",Huber Regressor,134.67689937778584,0.4828701852938676
"R_Mean,S_Mean",Quantile Regressor,180.11766117862973,0.30838760633087237
"R_Mean,S_Mean",Random Forest,131.32040030882388,0.49575840702760854
R_Mean:S_Mean,Linear Regression,129.1998600552744,0.5039008174444006
R_Mean:S_Mean,Ridge Regression,129.26726135026954,0.5036420112248274
R_Mean:S_Mean,Lasso Regression,129.09893285531294,0.504288355800689
R_Mean:S_Mean,Polynomial Regression,135.68435224429874,0.4790017868039118
R_Mean:S_Mean,Elastic Net,130.45306489026504,0.499088785187186
R_Mean:S_Mean,Huber Regressor,134.67689937778584,0.4828701852938676
R_Mean:S_Mean,Quantile Regressor,180.11766117862973,0.30838760633087237
R_Mean:S_Mean,Random Forest,131.32040030882388,0.49575840702760854
"R_Mean,V_Mean",Linear Regression,135.86810659421553,0.4782962103215088
"R_Mean,V_Mean",Ridge Regression,129.00937561103697,0.5046322360158706
"R_Mean,V_Mean",Lasso Regression,129.36154436256044,0.5032799850948736
"R_Mean,V_Mean",Polynomial Regression,128.60860792494807,0.5061710962079662
"R_Mean,V_Mean",Elastic Net,131.50492709830084,0.4950498645463708
"R_Mean,V_Mean",Huber Regressor,150.37828276674895,0.4225803098952088
"R_Mean,V_Mean",Quantile Regressor,180.11766117862973,0.30838760633087237
"R_Mean,V_Mean",Random Forest,174.12521105882394,0.33139730312674365
R_Mean:V_Mean,Linear Regression,135.86810659421553,0.4782962103215088
R_Mean:V_Mean,Ridge Regression,129.00937561103697,0.5046322360158706
R_Mean:V_Mean,Lasso Regression,129.36154436256044,0.5032799850948736
R_Mean:V_Mean,Polynomial Regression,128.60860792494807,0.5061710962079662
R_Mean:V_Mean,Elastic Net,131.50492709830084,0.4950498645463708
R_Mean:V_Mean,Huber Regressor,150.37828276674895,0.4225803098952088
R_Mean:V_Mean,Quantile Regressor,180.11766117862973,0.30838760633087237
R_Mean:V_Mean,Random Forest,174.12521105882394,0.33139730312674365
"R_Mean,L_Mean",Linear Regression,130.16822468893264,0.5001825092127347
"R_Mean,L_Mean",Ridge Regression,129.13852442797824,0.5041363328277001
