Feature Set,Model,R2 Score,MSE
"L,V",LightGBM,0.5711573382931281,111.68414266042384
"L,R",Linear Regression,0.615003645895362,100.26518249006668
"L,R",Ridge Regression,0.6096434243443891,101.66115309151667
"L,R",Lasso Regression,0.5847189282329328,108.15227729164064
"L,R",Random Forest,0.5378696000667834,120.35331864705904
"L,R",XGBoost,0.4734057931245632,137.14172533755314
"L,R",LightGBM,0.5933258099095284,105.91077408576946
"L,G",Linear Regression,0.6320589198867168,95.82345170241226
"L,G",Ridge Regression,0.5901168678706379,106.74648371184543
"L,G",Lasso Regression,0.582122081888856,108.8285779106246
"L,G",Random Forest,0.5421897536088688,119.22821452941182
"L,G",XGBoost,0.5165667730817689,125.90124608178554
"L,G",LightGBM,0.5583620551950192,115.0164375800149
"L,B",Linear Regression,0.6738452292119006,84.94097999740175
"L,B",Ridge Regression,0.6565084446888154,89.45602499838807
"L,B",Lasso Regression,0.6388670905630682,94.05038952140688
"L,B",Random Forest,0.5686759143011682,112.33038366176457
"L,B",XGBoost,0.4798191952754771,135.4714733203904
"L,B",LightGBM,0.5305802383357288,122.2516981418468
"a,b",Linear Regression,0.6067524399158468,102.41405653648006
"a,b",Ridge Regression,0.5997388101643885,104.24062673500356
"a,b",Lasso Regression,0.6058149070853005,102.65821962878715
"a,b",Random Forest,0.5576475247516204,115.20252382352935
"a,b",XGBoost,0.5174421740372972,125.67326408761274
"a,b",LightGBM,0.5573726793291247,115.27410223238772
"a,H",Linear Regression,0.3316202602401622,174.0671460007369
"a,H",Ridge Regression,0.3443835472414747,170.74318387300238
"a,H",Lasso Regression,0.3450071787901573,170.58077056604876
"a,H",Random Forest,0.35941739318705124,166.82789664705868
"a,H",XGBoost,0.24221001144101284,197.3523922550234
"a,H",LightGBM,0.39908119555680877,156.49819263699735
"a,S",Linear Regression,0.4750302980705232,136.71865305874803
"a,S",Ridge Regression,0.4821762097459191,134.85763247880578
"a,S",Lasso Regression,0.4888767451677173,133.11260190985357
"a,S",Random Forest,0.4503675059453288,143.14162129411767
"a,S",XGBoost,0.30011948491062623,182.27094053884335
"a,S",LightGBM,0.5085297717343975,127.99433449204122
"a,V",Linear Regression,0.634518459960116,95.1829099630638
"a,V",Ridge Regression,0.6404257425212263,93.64446743576357
"a,V",Lasso Regression,0.6426344179981265,93.06925874250788
"a,V",Random Forest,0.583711585364492,108.41462111764696
"a,V",XGBoost,0.5076958052835365,128.21152563552783
"a,V",LightGBM,0.6181359668132973,99.44942741834755
"a,R",Linear Regression,0.6257117602749878,97.47645207495769
"a,R",Ridge Regression,0.6320374314732571,95.82904796241317
"a,R",Lasso Regression,0.6339919320663545,95.32003441837685
"a,R",Random Forest,0.5543659827612931,116.05714076470576
"a,R",XGBoost,0.4466049045416768,144.12152126551328
"a,R",LightGBM,0.6099190172597805,101.58938001195348
"a,G",Linear Regression,0.6370259043604554,94.52989242743442
"a,G",Ridge Regression,0.6427967908174372,93.02697174371937
"a,G",Lasso Regression,0.6453293937607165,92.36740213072045
"a,G",Random Forest,0.6009017913782986,103.9377497794116
"a,G",XGBoost,0.4595799140066522,140.74241993651074
"a,G",LightGBM,0.622427772429947,98.33170599377453
"a,B",Linear Regression,0.5691628009433243,112.2035830375319
"a,B",Ridge Regression,0.5628668889445059,113.84323691677712
"a,B",Lasso Regression,0.5525580588545685,116.52798112073322
"a,B",Random Forest,0.5608527155178673,114.36779114705865
"a,B",XGBoost,0.42110871148377027,150.7615333656231
"a,B",LightGBM,0.5263498166791662,123.35343324890161
"b,H",Linear Regression,0.6035185688954466,103.2562584548952
"b,H",Ridge Regression,0.6142815620303727,100.45323588258432
"b,H",Lasso Regression,0.6131842803208749,100.73900261692566
"b,H",Random Forest,0.5836579658704748,108.42858532352928
"b,H",XGBoost,0.5486183993431072,117.55399260280049
"b,H",LightGBM,0.6341064502775858,95.2902102675112
"b,S",Linear Regression,0.6090549308671823,101.81441533739837
"b,S",Ridge Regression,0.6167579216697678,99.80831379823776
"b,S",Lasso Regression,0.6209220300106973,98.72384876821766
"b,S",Random Forest,0.6514736783428159,90.76723680882327
"b,S",XGBoost,0.5240633403719551,123.94890373000499
"b,S",LightGBM,0.5947050224001604,105.55158369190869
"b,V",Linear Regression,0.6211154932331,98.67346484875321
"b,V",Ridge Regression,0.6398916382211497,93.78356502602635
"b,V",Lasso Regression,0.6419748209269179,93.24103860486126
