Label,Weight,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,a_Mean,a_Std,b_Mean,b_Std
1_5_2,150.3,208.8849282173336,57.72216803184154,212.5039171193704,51.08252071,203.1577820769686,68.05101024982386,51.73982380414515,57.47220243076069,22.170367183017785,43.67439983973839,213.2445986,51.19111046467125,214.5608372104489,50.86103382412064,124.92069376837708,6.620846528254798,132.69191548560312,10.271008667283676
2_5_2,145,205.00640967889416,55.04231845453416,208.43886012801207,48.63053610907609,199.74743712573508,64.96792563305219,68.77898194339859,59.17611351778708,21.657278107967585,41.237044465057295,209.5521925873136,48.86433798368442,211.04678283446285,48.52093989766603,125.06935123305723,6.460875398908723,132.3897435725043,9.988922018662755
3_5_2,144,205.7138555337421,53.21480591748215,209.02599746082544,46.88548927981635,200.6444339299161,63.01594186113888,67.69096564830751,58.761733156269166,20.68142996091509,40.72481221477444,210.0762199467513,47.12951163979764,211.7081914712421,46.89015689164708,125.18368602759251,6.3501634555550925,132.21798264486517,9.814174685072883
4_5_2,143.3,193.38249812867545,45.96574408766598,196.11494723312896,39.92159589970304,188.3756691,55.458932251840025,90.21504892337208,55.18577758947673,20.601756411807948,39.16947821,197.71860063019935,40.58766466,200.2720991667563,40.66490882250722,125.49107854408706,6.220132239785771,131.9671724285535,9.540982995139634
5_5_2,142.8,191.4583542876865,46.25904072955882,194.2813353861876,40.145831918158336,186.43608277977984,55.85886630796803,91.68311387290233,53.88993123345412,21.27281312751004,39.751578888659495,195.9430426505128,40.87550821044889,198.5300485984115,40.97549435275979,125.42725746736949,6.266960752238265,132.0286057735406,9.661658816656304
6_5_2,142.2,209.4344067116681,52.97799474898957,212.4660003854705,46.814415348029215,204.36581235656917,62.93785860613253,65.49711429,60.77318238049854,19.89961492174053,40.48003551944865,213.51137199467516,46.96785507055322,214.9318507288081,46.62675789900736,125.34673353010255,6.265898141148307,132.09694296157846,9.815811134428346
7_5_2,141.6,207.94702560240964,50.61390327884664,211.0611449144793,44.35084337300184,202.59813982492471,60.94372103270591,63.62633866940978,59.89824268307217,19.82778211,40.86362537675221,212.0466377227661,44.51753968916445,213.74380698015275,44.24253684989908,125.29035965289732,6.394741960444109,132.2443937020403,10.06468038487331
8_5_2,140.5,205.3788748184703,50.229352828497625,208.5563036745195,43.88873409434946,199.8281811957652,60.967154523118815,70.76536234222606,59.97046253736722,20.831940429127226,42.047606157404736,209.66459235379017,44.12488558626854,211.44076652592517,43.93807956584368,125.21383502761044,6.526791072475344,132.39186315574798,10.35697969
0_5_3,168.6,200.1860043970525,63.267489729126055,205.08468281608577,55.52614122109767,192.54353871961055,75.30974576617524,49.77867367909137,55.02485568501065,29.42178978189544,51.41260567113176,205.74456968498995,55.674111413434645,207.1015985818273,55.53187411588482,123.90217785203312,7.5992350293600275,134.27723460807516,11.895209130839389
1_5_3,164.2,202.48618878415448,60.68920768931126,206.9695709,53.27757323409546,195.42761811755952,72.28353685217785,51.10946912650603,55.48384104126461,26.92000076197648,48.78513287261464,207.67952782110584,53.44313887906807,209.09640038950445,53.27097961561415,124.22919126281914,7.3174079452162095,133.7733248283312,11.423206660463466
