SubsetSize,Feature Groups,Model,R2,MSE
1,GLCM,Lasso,0.5022634887794195,78.04090825332393
1,GLCM,ElasticNet,0.5028923036660234,77.94231535574156
1,GLCM,BayesianRidge,0.5070970175821485,77.28305149712868
1,GLCM,ARDRegression,0.5821170736679036,65.52053622616627
1,GLCM,HuberRegressor,0.530907454135894,73.54977484839404
1,GLCM,RANSACRegressor,0.2635110992995735,115.47527945700934
1,GLCM,PassiveAggressiveRegressor,0.411036612546566,92.34451692544397
1,GLCM,LinearSVR,0.36740669380860536,99.18532206746463
1,LBP,LinearRegression,0.7110839045357628,45.29961935832533
1,LBP,Ridge,0.7110839045241466,45.29961936014666
1,LBP,Lasso,0.7130933581542258,44.984553893079024
1,LBP,ElasticNet,0.713100450087361,44.98344193747467
1,LBP,BayesianRidge,0.7095460622131945,45.540740129854264
1,LBP,ARDRegression,-0.03749309488684971,162.67021125890417
1,LBP,HuberRegressor,0.5067767046402818,77.33327387853943
1,LBP,RANSACRegressor,0.3128398827533093,107.74094014900739
1,LBP,PassiveAggressiveRegressor,0.24391878550134471,118.54718985363343
1,LBP,LinearSVR,0.08126316247941057,144.05022663510942
1,Temp,LinearRegression,0.3957474852932723,94.74172378158097
1,Temp,Ridge,0.3957197934010165,94.74606563791293
1,Temp,Lasso,0.388381612264167,95.89663086255918
1,Temp,ElasticNet,0.3883471717648056,95.90203084385504
1,Temp,BayesianRidge,0.3941171764714766,94.9973425242654
1,Temp,ARDRegression,0.3941171764714767,94.99734252426539
1,Temp,HuberRegressor,0.36526365167846575,99.52133309034718
1,Temp,RANSACRegressor,0.29793070871123173,110.07857352996501
1,Temp,PassiveAggressiveRegressor,0.4042480835586316,93.40890130549124
1,Temp,LinearSVR,0.400597710125146,93.98124922811887
1,Yellow,LinearRegression,0.386474892644588,96.19558849886253
1,Yellow,Ridge,0.38647148742920634,96.19612240805985
1,Yellow,Lasso,0.38398744161985443,96.5855999463447
1,Yellow,ElasticNet,0.38477743852436386,96.4617350608975
1,Yellow,BayesianRidge,0.38493205109977524,96.43749310648893
1,Yellow,ARDRegression,0.3849320510997758,96.43749310648884
1,Yellow,HuberRegressor,0.3834354603974852,96.67214597011707
1,Yellow,RANSACRegressor,0.42435936892304404,90.25562052218746
1,Yellow,PassiveAggressiveRegressor,-0.3818183048667734,216.6575148132564
1,Yellow,LinearSVR,-0.21985625327227942,191.26322421156786
1,Cyan,LinearRegression,0.41695389773757763,91.41673626179913
1,Cyan,Ridge,0.41695156470716677,91.41710206139018
1,Cyan,Lasso,0.41500225616129705,91.72273728395518
1,Cyan,ElasticNet,0.41566716562366657,91.61848505977679
1,Cyan,BayesianRidge,0.4156551799296233,91.62036431602601
1,Cyan,ARDRegression,0.4156551799296233,91.62036431602601
1,Cyan,HuberRegressor,0.4130179076001643,92.03386648687868
1,Cyan,RANSACRegressor,0.4601310372332562,84.64692310551666
1,Cyan,PassiveAggressiveRegressor,-0.4091488354329189,220.94271266461917
1,Cyan,LinearSVR,-0.026285747119954683,160.9129931743909
1,Magenta,LinearRegression,0.4124321217903689,92.12571278629167
1,Magenta,Ridge,0.41242912127130116,92.12618324250293
1,Magenta,Lasso,0.4101581930607153,92.48224572965626
1,Magenta,ElasticNet,0.4108952451701783,92.36668214379138
1,Magenta,BayesianRidge,0.411023004416351,92.34665056607042
1,Magenta,ARDRegression,0.4110230044163511,92.3466505660704
1,Magenta,HuberRegressor,0.4067554435961779,93.01576829186452
1,Magenta,RANSACRegressor,0.3816327180036463,96.95480084993883
1,Magenta,PassiveAggressiveRegressor,-2.45248189568412,541.3201900873646
1,Magenta,LinearSVR,-0.6685776612870595,261.6189755875498
1,Brightness,LinearRegression,0.4116743244029958,92.24452905765092
1,Brightness,Ridge,0.41166259422211093,92.24636825158103
1,Brightness,Lasso,0.40714478942176113,92.95472213356956
1,Brightness,ElasticNet,0.4078391115683525,92.84585824731874
1,Brightness,BayesianRidge,0.41027919146286707,92.46327419554483
1,Brightness,ARDRegression,0.4102791914628666,92.46327419554488
1,Brightness,HuberRegressor,0.40882696935371055,92.69097043608424
1,Brightness,RANSACRegressor,0.0492705583967743,149.06639849253514
1,Brightness,PassiveAggressiveRegressor,-0.16116158077102116,182.06039209383394
1,Brightness,LinearSVR,0.09828169022558664,141.38186429377942
1,Chroma,LinearRegression,0.11202089973839069,139.22767153337176
