Model,Feature_Groups,MAE,MSE,R² Score
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'Yellow', 'Chroma')",9.809110113,158.4001537,-0.010259128
PassiveAggressiveRegressor,"('Cyan', 'Magenta', 'Chroma')",9.564781282,158.3601204,-0.0100038
RANSACRegressor,"('HSV', 'GLCM', 'Yellow', 'Cyan', 'Chroma')",9.604837808,158.2592155,-0.009360239
RANSACRegressor,"('RGB', 'Yellow', 'Magenta', 'Chroma')",9.507273094,157.6716492,-0.005612804
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'Chroma')",9.813980836,157.6421456,-0.005424634
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'Yellow', 'Magenta', 'Brightness')",9.5864674,156.7783678,8.44E-05
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Temp', 'Chroma')",9.696945856,156.7418712,0.00031722
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'Magenta')",9.591078808,156.2026061,0.003756594
PassiveAggressiveRegressor,"('HSV', 'Yellow', 'Brightness')",9.477831982,155.7500266,0.006643098
PassiveAggressiveRegressor,"('Chroma',)",9.684760607,155.7176612,0.006849521
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Yellow', 'Cyan', 'Magenta')",10.15227106,155.3690934,0.009072649
PassiveAggressiveRegressor,"('Lab', 'GLCM', 'Magenta', 'Brightness', 'Chroma')",9.694035772,155.2199935,0.010023592
PassiveAggressiveRegressor,"('Lab', 'Cyan', 'Brightness')",9.524956895,155.1450298,0.010501702
RANSACRegressor,"('GLCM', 'Chroma')",9.565159978,154.8536328,0.012360201
RANSACRegressor,"('RGB', 'Yellow', 'Brightness')",9.533894415,154.5951029,0.014009077
RANSACRegressor,"('Lab', 'GLCM', 'Yellow', 'Brightness', 'Chroma')",9.243412415,153.7934553,0.019121899
PassiveAggressiveRegressor,"('HSV', 'RGB', 'Cyan', 'Magenta', 'Brightness')",9.406700472,153.6142133,0.020265085
PassiveAggressiveRegressor,"('Lab', 'RGB', 'GLCM', 'Temp', 'Cyan', 'Magenta', 'Chroma')",9.864645138,153.407754,0.02158186
PassiveAggressiveRegressor,"('RGB', 'Chroma')",9.63470892,153.326871,0.022097723
PassiveAggressiveRegressor,"('Lab', 'HSV', 'GLCM', 'Cyan', 'Brightness', 'Chroma')",9.458302123,153.1468398,0.023245943
PassiveAggressiveRegressor,"('Lab', 'Magenta', 'Chroma')",9.96277253,152.9971815,0.024200448
RANSACRegressor,"('Lab', 'HSV', 'Chroma')",9.502639445,152.9507882,0.024496339
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'LBP', 'Cyan', 'Magenta')",10.079785,152.607435,0.026686208
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'Yellow', 'Cyan', 'Magenta', 'Chroma')",9.833815822,152.5382187,0.027127663
PassiveAggressiveRegressor,"('Lab', 'HSV', 'GLCM', 'Yellow', 'Magenta', 'Chroma')",9.599277455,152.2792644,0.028779245
PassiveAggressiveRegressor,"('HSV', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",9.429946576,152.2732622,0.028817527
RANSACRegressor,"('Lab', 'RGB', 'GLCM', 'Cyan', 'Brightness', 'Chroma')",9.445314876,152.0643136,0.030150179
RANSACRegressor,"('HSV', 'Temp', 'Chroma')",9.679941707,151.2726621,0.035199247
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Temp', 'Yellow', 'Cyan', 'Brightness')",9.360916686,151.1334662,0.036087023
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'Yellow', 'Brightness')",9.27543886,150.9689409,0.037136348
PassiveAggressiveRegressor,"('Lab', 'GLCM', 'Chroma')",9.496551441,150.8944383,0.037611517
RANSACRegressor,"('Lab', 'RGB', 'GLCM', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",9.362840762,150.8129511,0.038131234
RANSACRegressor,"('Yellow', 'Magenta', 'Brightness', 'Chroma')",9.512967286,150.7040448,0.038825826
RANSACRegressor,"('GLCM', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",9.116983214,150.3656964,0.040983776
RANSACRegressor,"('Lab', 'GLCM', 'Magenta', 'Chroma')",9.218391502,150.2149706,0.041945089
PassiveAggressiveRegressor,"('Lab', 'GLCM', 'Temp', 'Cyan')",9.436886335,150.025371,0.043154335
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Cyan', 'Brightness')",9.320732543,149.9826097,0.043427062
RANSACRegressor,"('Lab', 'HSV', 'Yellow', 'Magenta', 'Brightness')",9.156313291,149.8647067,0.044179034
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Temp')",9.463349795,149.6245337,0.045710832
RANSACRegressor,"('Lab', 'HSV', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",9.128559249,149.5253306,0.046343539
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",9.678838739,149.3139859,0.047691473
RANSACRegressor,"('RGB', 'GLCM', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",9.078333853,149.1461394,0.048761979
PassiveAggressiveRegressor,"('Lab', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",9.289203414,149.1404812,0.048798067
RANSACRegressor,"('HSV', 'RGB', 'Magenta', 'Brightness')",9.142600837,149.043136,0.049418924
PassiveAggressiveRegressor,"('HSV', 'GLCM', 'Chroma')",9.503301639,148.5596216,0.052502727
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",9.962238639,148.5320774,0.052678401
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'LBP', 'Yellow', 'Brightness')",9.87055438,148.4362898,0.053289324
RANSACRegressor,"('GLCM', 'Magenta', 'Chroma')",9.320869622,148.3885425,0.053593851
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'Chroma')",9.510387094,148.362053,0.053762798
RANSACRegressor,"('Lab', 'RGB', 'Yellow', 'Cyan', 'Magenta', 'Brightness')",9.201413826,148.2296862,0.054607019
RANSACRegressor,"('Lab', 'Yellow', 'Chroma')",9.359132289,148.1554217,0.05508067
PassiveAggressiveRegressor,"('Lab', 'Temp', 'Yellow', 'Magenta')",9.350755388,148.0749186,0.05559411
RANSACRegressor,"('Lab', 'HSV', 'Cyan', 'Magenta', 'Brightness')",9.344469028,147.7909998,0.057404914
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",10.088249,147.6133371,0.058538027
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Yellow', 'Magenta', 'Chroma')",9.120452549,147.5962657,0.058646907
PassiveAggressiveRegressor,"('Brightness', 'Chroma')",9.346909219,147.4081993,0.059846374
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Temp', 'Yellow', 'Cyan', 'Brightness')",9.679150403,147.2854017,0.060629564
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Cyan', 'Magenta', 'Brightness')",9.143299762,147.2534626,0.060833268
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Yellow', 'Cyan', 'Brightness')",9.108544286,147.0601205,0.062066383
PassiveAggressiveRegressor,"('Lab', 'GLCM', 'Yellow')",9.190409124,146.9950724,0.062481253
RANSACRegressor,"('Lab', 'RGB', 'Yellow', 'Brightness', 'Chroma')",9.212359711,146.9382634,0.062843575
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Chroma')",9.396201696,146.9265633,0.062918197
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'Temp')",9.38296605,146.818316,0.063608586
RANSACRegressor,"('Lab', 'RGB', 'GLCM', 'Cyan', 'Magenta', 'Brightness')",9.252219218,146.8180475,0.063610299
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Yellow', 'Brightness')",9.251350072,146.6397129,0.064747698
RANSACRegressor,"('RGB', 'Magenta', 'Chroma')",9.216479224,146.2232102,0.067404108
HuberRegressor,"('Chroma',)",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('HSV', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('RGB', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'HSV', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'RGB', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('HSV', 'RGB', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('HSV', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('RGB', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'HSV', 'RGB', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'HSV', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'RGB', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('HSV', 'RGB', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
HuberRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Chroma')",9.403482787,145.9854737,0.068920365
PassiveAggressiveRegressor,"('HSV', 'Temp', 'Magenta', 'Chroma')",9.660804964,145.5816181,0.071496112
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'Cyan', 'Chroma')",9.076212314,145.545761,0.071724805
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Yellow', 'Magenta', 'Chroma')",9.240059659,145.4172407,0.072544494
ElasticNet,"('Chroma',)",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('HSV', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('RGB', 'Chroma')",9.309441423,145.362417,0.072894153
