Filename,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_energy,GLCM_correlation,GLCM_ASM,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
3_5_4.png,26.30131945,1.65125881,0.679892362,0.27167769,0.994242422,0.073808767,460449,954663,321035,1216278,1037019,1849166,1019218,1274692,7818379,1897421
4_15_3.png,20.90891019,1.484449423,0.700857035,0.344788884,0.993813202,0.118879374,422963,858293,313287,1110134,1012254,1658972,933073,1135798,8708555,1694991
3_20_5.png,22.48606365,1.629658302,0.673477688,0.289232435,0.994723571,0.083655402,460621,929604,349341,1207278,1093899,1799865,1013270,1228944,7929335,1836163
1_5_2.png,29.52492961,1.769794618,0.690033444,0.366342196,0.995120613,0.134206605,431255,835076,339676,1097288,1102158,1596576,916917,1072960,8823142,1633272
5_5_6.png,21.90413039,1.485349902,0.705613029,0.32037861,0.994779751,0.102642454,400656,861293,294005,1166112,970721,1786207,945040,1174382,8542407,1707497
6_15_8.png,14.10291249,1.276840859,0.704850042,0.303708152,0.991643859,0.092238642,411760,882454,295721,1181642,966735,1820191,950022,1215357,8375606,1748832
3_10_3.png,37.91534675,2.583452385,0.52140405,0.070286433,0.991448204,0.004940183,689651,1332605,510680,1683675,1595418,2463058,1422035,1701357,3836414,2613427
7_10_8.png,20.73407316,1.46536138,0.7023961,0.304135925,0.99164316,0.092498661,411451,883061,296504,1188115,964959,1823913,954362,1213461,8373044,1739450
2_5_1.png,40.81161639,2.387407139,0.59734701,0.168256249,0.992995251,0.028310165,560432,1091571,424373,1433012,1399397,2125909,1177808,1426489,6078592,2130737
2_20_4.png,29.46774797,1.920297537,0.635024526,0.192695798,0.992670798,0.037131671,503592,1043402,374413,1389774,1217473,2105936,1129362,1396929,6638733,2048706
6_10_4.png,19.35053486,1.424613424,0.709374796,0.351153366,0.994628376,0.123308686,407981,836807,302420,1103843,965192,1667640,911633,1124696,8871453,1656655
1_15_5.png,30.91098833,1.834484954,0.688585656,0.368159558,0.994836307,0.13554146,416760,811777,333371,1099241,1167849,1631243,909989,1058348,8840280,1579462
3_20_2.png,20.56906849,1.613830823,0.656693243,0.240814175,0.992112834,0.057991467,497819,1009896,356382,1278832,1104840,1912181,1091229,1331777,7270848,1994516
3_10_6.png,31.67538299,1.708906827,0.705411251,0.355535646,0.991545229,0.126405595,428861,868668,304327,1074212,935552,1593248,920360,1133285,8883267,1706540
