Trt,Code,Day,Leave,Total area (cm2),Yellowing area (cm2),Green area (cm2),Yellowing area (%),Green area (%),R,G,B,Var_R,Var_G,Var_B,X,Y,Z,L*,a*,b*,,L*0,a*0,b*0,TCD,Grayscale,,Day,Yellowing area (%),Green area (%),TCD,Grayscale
,,,2,191.097,0,191.097,0,100,167.055,179.737,138.964,38.67,45.49,25.8,36.86,42.62,30.7,33.44,-18.75,28.07,,28.82,-18.21,26.83,4.815,161.941,,4,58.84,41.16,19.35,164.12
,,,3,242.626,0,242.626,0,100,149.763,159.83,125.63,30.39,35.07,20.73,28.81,33.04,24.47,22.33,-13.31,20.5,,17.73,-13.46,20.38,4.604,145.116,,5,84.99,15.01,32.93,174.57
,,Day 2,1,262.946,32.166,230.78,12.23,87.77,166.454,177.619,143.187,38.36,44.31,27.55,36.63,41.83,32.2,32.53,-16.06,23.69,,27.12,-17.23,24.93,5.673,162.432,,6,91.77,8.23,44.45,183.89
,,,2,191.097,21.042,170.055,11.01,88.99,167.771,180.128,140.107,39.04,45.71,26.27,37.18,42.89,31.17,33.75,-18.44,27.72,,28.82,-18.21,26.83,5.02,162.703,,,,,,
,,,3,242.626,19.428,223.198,8.01,91.99,143.294,154.672,116.035,27.59,32.63,17.48,26.19,30.46,21.03,19.34,-14.21,21.75,,17.73,-13.46,20.38,2.243,138.039,,,,,,
,,Day 3,1,262.946,51.335,211.611,19.52,80.48,162.827,176.121,130.054,36.54,43.48,22.34,34.64,40.48,27.13,30.96,-19.76,30.44,,27.12,-17.23,24.93,7.171,156.325,,,,,,
,,,2,191.097,43.557,147.54,22.79,77.21,161.743,175.362,130.073,36,43.07,22.35,34.27,40.07,27.07,30.48,-19.64,29.72,,28.82,-18.21,26.83,3.625,155.756,,,,,,
,,,3,242.626,78.193,164.433,32.23,67.77,152.053,163.686,119.069,31.42,36.97,18.47,29.5,34.45,22.57,23.97,-16.71,26.87,,17.73,-13.46,20.38,9.572,144.979,,,,,,
,,Day 4,1,262.946,168.927,94.019,64.24,35.76,175.311,187.09,134.635,43.04,49.75,24.09,39.87,46.47,29.65,37.9,-22.1,37.7,,27.12,-17.23,24.93,17.412,165.669,,,,,,
,,,2,191.097,93.244,97.853,48.79,51.21,170.31,183.352,132.786,40.36,47.56,23.37,37.86,44.28,28.66,35.37,-21.8,35.17,,28.82,-18.21,26.83,11.194,162.179,,,,,,
,,,3,242.626,154.01,88.616,63.48,36.52,179.12,185.685,128.559,45.15,48.92,21.79,40.03,46.16,27.41,37.54,-19.72,41.25,,17.73,-13.46,20.38,29.455,164.502,,,,,,
,,Day 5,1,262.946,227.563,35.383,86.54,13.46,185.768,195.79,134.584,48.97,55.07,24.07,44.22,51.53,30.38,43.78,-24.54,46.47,,27.12,-17.23,24.93,28.196,172.036,,,,,,
,,,2,191.097,145.674,45.423,76.23,23.77,183.644,195.058,140.039,47.73,54.61,26.24,43.93,51.1,32.37,43.27,-23.85,41.9,,28.82,-18.21,26.83,21.628,172.929,,,,,,
,,,3,242.626,223.709,18.917,92.2,7.8,204.284,201.045,130.673,60.57,58.44,22.57,49.93,56.3,29.59,49.31,-18.23,57.49,,17.73,-13.46,20.38,48.964,178.731,,,,,,
,,Day 6,1,262.946,237.422,25.524,90.29,9.71,204.364,208.687,140.468,60.62,63.55,26.42,52.48,60.24,33.85,53.88,-24.54,57.43,,27.12,-17.23,24.93,42.733,184.555,,,,,,
,,,2,191.097,163.033,28.064,85.31,14.69,195.243,203.882,140.428,54.72,60.3,26.4,48.88,56.67,33.34,49.74,-25.62,51.25,,28.82,-18.21,26.83,32.994,179.862,,,,,,
,,,3,242.626,241.887,0.739,99.7,0.3,219.252,207.362,135.099,71.02,62.64,24.27,56.05,61.65,31.9,55.52,-12.74,63.88,,17.73,-13.46,20.38,57.632,187.262,,,,,,
