Label,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,A_Mean,A_Std,B_Lab_Mean,B_Lab_Std
1_20_5_1,199.23075112951807,58.70303798382194,203.58074911252152,51.48596805696447,191.2495689230135,71.62785485630805,58.06788829424843,57.74297569240942,28.349172807300633,51.91028312693048,204.43483218588642,51.70139032187643,206.08444749982073,51.593567369030715,124.21094142193776,7.533673651522437,134.1575469287866,12.575566896982625
1_20_5_2,220.2924645008606,48.63882832462792,223.17686056726907,42.14709040225548,215.00909699064115,60.27813759763019,44.86847423174842,57.42655666481204,17.552261501362594,42.01718686724068,223.8079879787005,42.123125794857046,224.9330828895941,41.779176128765336,125.50029212833478,6.477938693636838,132.04931119567556,10.57751441770948
1_20_6_1,208.1787734643933,57.79212391079873,212.4103691551922,50.241804907013986,200.21959456128084,71.88952079942878,46.492450942161504,55.57369527818468,26.772368379769077,52.31867972459655,213.0527242900172,50.310249655425956,214.30469187015922,50.14913829237167,124.31859480332042,7.643816567542026,134.06608554754735,12.819762957602416
1_20_6_2,216.4887356345023,47.5126896125686,219.16096024723896,41.07830261508971,211.55835619262766,58.818954584722185,54.8278423963712,60.738461283238664,17.36504914748279,42.145616748425745,219.99040245804647,41.098616726004494,221.42805933555653,40.84107623325163,125.66314700767356,6.436782771893948,131.8012711560528,10.385320014636978
1_20_7_1,201.7937334158061,51.094623329207025,205.50705713478916,44.30157915716165,193.0283128047906,66.0570337655603,59.61014437213139,59.1786677823391,26.98719083924986,53.06938859815818,206.49585159835772,44.45619908562025,208.37838395994694,44.5026650796764,124.51628231676708,7.727766427069825,134.22118216168244,13.384770764056958
1_20_7_2,217.7174352544105,46.297935681629504,220.50520620428142,39.468415160633995,211.81931968947217,59.588473611280314,49.45340469018933,60.327980881527864,18.485216311675273,45.7747420160724,221.25280452165808,39.44107799144431,222.6533354399742,39.322491228920455,125.50254791487379,6.958806387347185,132.30407321249282,11.650188299288107
1_20_8_1,209.44484153130378,52.29683595812072,213.07805104345957,44.80926524256367,201.2349490596314,67.6727989845004,51.10183625125502,60.416102526858545,25.61574310635399,53.92700858423292,213.84250853861877,44.875889694615,215.33706298407918,44.96790730610605,124.67002171632961,7.750583359090289,133.90462811065692,13.216113468630017
1_20_8_2,208.80291276714,50.129695233497316,212.17061852319995,43.49604564486836,201.2127980672691,64.0961131863499,52.39606965809667,58.1991139021217,23.144777547690765,49.08901188944392,213.01628265293317,43.53671094984991,214.67795131418532,43.296799918480914,124.89855695101836,7.304147999994149,133.43998213837494,12.533552600039977
1_20_9_1,201.20611116340362,57.18898653042608,206.988337837959,48.48504510422697,188.4419385129805,75.83551208987075,49.19493991591366,55.48352739642682,36.888107003908495,61.323117258014236,207.66163694958405,48.60905496295085,208.85573028722033,48.847889394673956,122.8141497911288,9.099572395519273,137.11973844036862,15.855479723381762
1_20_9_2,223.40985213174125,49.42368990883324,226.12154578133965,42.852494086860446,218.41131165286146,60.87099557552957,35.81198208010614,54.69621666696989,16.78571820765204,42.65042665364794,226.59543833817412,42.80629645676345,227.6078706567341,42.53373175947183,125.65290570765204,6.413261810232741,131.83818936460128,10.351358075826527
1_20_10_1,211.6677376918388,52.797833089203664,215.4609721251076,45.51535343846358,204.9408859769435,65.51074014091012,52.024411373171255,58.79621220139998,22.286470771478772,45.53377817978582,216.19957934416237,45.57107694584422,217.4975158446285,45.31163051242161,124.75139452900889,7.320567613125087,133.21197524472893,11.819305338873285
1_20_10_2,199.97870578295326,57.41620678088862,204.7236758417599,49.648609720804366,191.3585453420826,71.14672456531089,59.798043289228346,59.08852570710308,29.19272928768646,51.83266002125111,205.56899080697792,49.82758464258331,207.1344157881526,49.71708105425314,123.90635723698365,7.968205326117761,134.65031218624497,13.120834284705415
2_5_1_1,191.44638061173265,51.2752705417955,195.0057952793316,44.295257552865756,185.26518361391996,61.90169799156751,76.42220298605135,56.87835945717337,24.729946796113023,45.79311198429737,196.32233577165806,44.87044373698773,198.77715885864887,45.1581749395505,124.85216166003299,6.934067284592663,132.9466922377008,10.541871966348817
2_5_1_2,186.62644719503012,52.89753084898105,190.69635775243833,46.339891389251314,180.82800241143144,63.02035719652238,77.67724155550775,52.20358546279204,25.592586865318417,44.84948697534888,191.9404306959983,46.94117945266654,194.5345634771228,47.15892459364213,124.62768888052209,6.805720360899193,132.97044528560673,10.432875691593466
2_5_2_1,188.64308864923981,49.411546967358916,191.74168504374643,43.141774413788966,183.21939958494693,58.94475374464646,96.21602391709696,52.06117705318023,23.36028690655479,40.08466093301833,193.53012059398307,43.99462918910249,195.93634213192055,43.937830773962396,125.16634383516208,6.396958212483326,132.39568161037005,9.736248040887745
2_5_2_2,193.2518382682516,46.648868648352,196.48732160786003,40.111212910690085,187.7824812643431,56.92863636371064,87.32872864224757,54.65903329036003,21.995361468194204,41.414745913353215,197.98701782576737,40.761114476715015,200.47560610746558,40.89918993576511,125.15998402090506,6.647272337678226,132.4051381866753,10.257977181487586
2_5_3_1,182.6635095067771,54.12905985982893,187.27920622221026,46.86899956354529,175.22087064776966,64.8693613036274,79.94787442179432,54.48900065128264,29.611187159351694,46.798014928150934,188.6038783482143,47.5784546063058,191.08666339465003,47.88443741147452,124.02239224756168,7.351663869750804,134.0864772706899,11.158394257596097
2_5_3_2,192.56168098734224,46.773086529619626,195.61541545646872,40.400636131208735,186.64248836865318,57.17236648341711,81.89172538367757,56.971063945644474,22.402268224684452,42.648784447711385,197.03859612557372,40.99290804766874,199.66344384233363,41.22457448556556,125.19421805525674,6.580631914513238,132.5576856533276,10.30893510320388
2_5_4_1,196.77515340379375,44.968012979885906,199.29553549017498,39.155824258022065,191.76441054396156,54.28482153482327,85.24288448436604,58.134688167549065,19.143125403399313,38.26252495637029,200.76353987378084,39.71155343353104,203.30642514253444,39.80513288356842,125.64295519130093,6.1378644799445095,131.84439756795038,9.56830047745252
2_5_4_2,195.4335984563253,45.65846443506547,198.67954911162508,38.83057520848456,189.84159013285284,56.70642701931809,77.95432948311102,56.414816582426226,21.806724890633966,44.22453432359461,199.97355459785572,39.34473798703082,202.55746355959553,39.73798820094326,125.18357290770224,6.804191689793524,132.44327085126218,10.627152533199872
2_5_5_1,183.50886212259755,52.813359022030646,187.4523383713425,46.035491332592365,177.4090305418101,62.41322673486589,80.72453216885398,54.680367137074604,26.227576713102412,43.90286435153969,188.80626389486517,46.71991910097487,191.51982528327596,47.017405405810436,124.60576031805795,6.795852494582064,133.10660656016924,10.157360272350886
