Feature Group,R2_Train,R2_Test,MSE_Test
"('LBP', 'Magenta')",0.6782126741669767,0.5462416499409377,23.53790196089164
"('LBP', 'Brightness')",0.6697047780604417,0.5451081892615153,23.596698204190076
"('LBP', 'Chroma')",0.644986512911748,0.5465439168100619,23.522222408260717
"('LBP', 'Day')",0.7402884105747222,0.5533821125506008,23.167503247920774
"('Temp', 'Yellow')",0.1068118113003994,0.19169791638143718,41.92922333334854
"('Temp', 'Cyan')",0.5051847744180586,0.4319825296446924,29.46488924679103
"('Temp', 'Magenta')",0.3675779342796597,0.4229691126651117,29.93244411420094
"('Temp', 'Brightness')",0.37868235561855323,0.4199484337160072,30.08913642619938
"('Temp', 'Chroma')",0.35614228193336495,0.1638557558782502,43.373485558425216
"('Temp', 'Day')",0.6991967785043935,0.49876516522864,26.00065959931389
"('Yellow', 'Cyan')",0.4867303115612557,0.4200757412628515,30.08253257514934
"('Yellow', 'Magenta')",0.549555832919844,0.5138363475867618,25.218868999242257
"('Yellow', 'Brightness')",0.530360249306817,0.48102776679331205,26.920755384565403
"('Yellow', 'Chroma')",0.4179567813792142,0.34847372848035363,33.7967587857691
"('Yellow', 'Day')",0.6195007449047354,0.43363848915176173,29.378989312335758
"('Cyan', 'Magenta')",0.47649073282561527,0.4302800420631452,29.553202741801925
"('Cyan', 'Brightness')",0.4780469716947593,0.4252342182232728,29.81494581901337
"('Cyan', 'Chroma')",0.47608705690491404,0.4335141497445332,29.385439196457654
"('Cyan', 'Day')",0.6972631226686445,0.5365153715343891,24.04243523845641
"('Magenta', 'Brightness')",0.3902022358514524,0.3993167235755958,31.159369448924643
"('Magenta', 'Chroma')",0.4715037832107204,0.4323992643590159,29.443271879643582
"('Magenta', 'Day')",0.6636644588166926,0.5228739605728492,24.750059007317443
"('Brightness', 'Chroma')",0.46428216265496647,0.420648656399757,30.052813628219464
"('Brightness', 'Day')",0.6664770383808294,0.5229807041300181,24.744521876412254
