Feature_Groups,RMSE,R2_Score,MSE
LAB + Brightness + Chroma,4.119736665842217,0.295052014116458,16.972230195884748
HSV + GLCM + LBP,4.044596599465951,0.32053266157015625,16.358761652411538
HSV + GLCM + Yellow,4.458272160577906,0.17443492048325493,19.876190657783987
HSV + GLCM + Cyan,4.44497778084857,0.17935118006085615,19.75782747223748
HSV + GLCM + Magenta,4.3815873064360416,0.20259106056355447,19.198307323921444
HSV + GLCM + Brightness,4.449006198647957,0.1778630221766322,19.793656155607945
HSV + GLCM + Chroma,4.514921752321737,0.1533213346571105,20.384518429587978
HSV + LBP + Yellow,4.198365334932826,0.2678861623383577,17.62627148556562
HSV + LBP + Cyan,4.078670282826704,0.30903610010358507,16.635551276013665
HSV + LBP + Magenta,3.965330167419462,0.34690423341033827,15.723843336646858
HSV + LBP + Brightness,4.2047318512536265,0.2656640838057466,17.679769940946752
HSV + LBP + Chroma,4.231690388443005,0.2562175432927407,17.907203543640914
HSV + Yellow + Cyan,4.5152882661880644,0.15318386513546345,20.387828126775617
HSV + Yellow + Magenta,4.276791288941667,0.24027874987742304,18.290943729167328
HSV + Yellow + Brightness,4.501624167496325,0.15830135513661603,20.264620145386978
HSV + Yellow + Chroma,4.473036713967214,0.16895778373537196,20.00805744449861
HSV + Cyan + Magenta,4.193620678025161,0.26953998037999816,17.58645439116021
HSV + Cyan + Brightness,4.452825276082314,0.17645095293611446,19.827652939317538
HSV + Cyan + Chroma,4.636964333682252,0.10692964918593229,21.501438231841295
HSV + Magenta + Brightness,4.260314338805903,0.24612134299552735,18.150278265435173
HSV + Magenta + Chroma,4.310960722957151,0.22809066582549897,18.584382354879242
HSV + Brightness + Chroma,4.528495265806627,0.1482228279243356,20.50726937243303
GLCM + LBP + Yellow,4.429796416965545,0.18494729031842227,19.623096295760785
GLCM + LBP + Cyan,4.43639021191322,0.18251905670465152,19.681558112359422
GLCM + LBP + Magenta,4.337792458006595,0.21845192238210398,18.816443408738895
GLCM + LBP + Brightness,4.369397218132776,0.20702185832842812,19.09163204982644
GLCM + LBP + Chroma,4.481071174506769,0.1659696694377676,20.079998870995478
GLCM + Yellow + Cyan,4.854276452979788,0.021260372713346798,23.56399988195404
GLCM + Yellow + Magenta,4.598750170915213,0.12158894163907308,21.148503134492703
