Feature Set,MSE,R2 Score
b V R,79.66108101,0.694118886
b S G B,79.6383115,0.694206316
b H V G,79.6243547,0.694259907
L a b S V R B,79.55039448,0.694543898
a b S Day,79.54660532,0.694558447
a H S V R,79.51198687,0.694691374
L S V B,79.49992888,0.694737675
L a b R Day,79.49146961,0.694770156
a b H S R G,79.48239009,0.69480502
b H S V B,79.47250987,0.694842958
L b S R G B,79.46181086,0.694884039
L a S V,79.4461472,0.694944184
L S V G B,79.44588115,0.694945206
L H V R G Day,79.43748816,0.694977433
L a b H S V R,79.42665898,0.695019015
L b R,79.4199171,0.695044902
H S V R,79.41923422,0.695047524
b V G,79.41488695,0.695064217
R B Day,79.39852012,0.695127062
H V R G Day,79.3959598,0.695136893
L a b H S V,79.358916,0.695279133
L b H G,79.33032917,0.6953889
L a b H R G B,79.31550545,0.69544582
S G,79.27579519,0.695598299
a H S R G B,79.2583773,0.69566518
a b S G B,79.23961348,0.695737229
H V R Day,79.22581478,0.695790213
L b S V R B,79.22246879,0.695803061
H S R,79.1643596,0.696026187
a b H S V R G,79.16412495,0.696027088
a H G Day,79.13169206,0.696151623
a b S V R G,79.12236645,0.696187432
L S V,79.10329121,0.696260676
b S V R G B,79.04165321,0.696497353
L a S G,79.03454716,0.696524638
H R G Day,79.02852368,0.696547767
a b S R G,79.02365092,0.696566478
L S V G,78.97924491,0.696736987
L H S V R G B,78.96164763,0.696804557
a S B Day,78.96066574,0.696808327
b H G B,78.92179538,0.696957581
b H S V R G B,78.86575674,0.697172757
a b H S V B,78.81447149,0.697369681
L a S R B,78.81247935,0.69737733
L b H V,78.79652448,0.697438593
b S R,78.74365146,0.697641614
L a b H S G B,78.73674646,0.697668128
L a b H S V R B,78.73211453,0.697685914
L H S G,78.70802745,0.697778403
L H S V R G,78.69113988,0.697843247
S V R G,78.6793098,0.697888672
L a b H S,78.63259073,0.698068063
L b H,78.62724418,0.698088593
L a b H S V R G,78.61581416,0.698132482
b H S V R B,78.56901517,0.698312179
H R B Day,78.55931259,0.698349435
L a b S V R G,78.49671864,0.698589782
L b G B,78.4880305,0.698623143
b H G,78.46494559,0.698711784
S V G,78.39870211,0.698966144
b H V R,78.34415617,0.699175589
L H S R,78.30965226,0.699308076
a b H S V R B,78.30432542,0.69932853
H R Day,78.29985259,0.699345705
L S R G,78.26036962,0.699497311
L b S V R G,78.20541481,0.699708325
b B,78.20246092,0.699719668
a b H S G,78.19502326,0.699748226
S R G,78.18299934,0.699794396
L a V R Day,78.16983605,0.69984494
H S V G,78.15376883,0.699906634
a S R Day,78.14034125,0.699958193
L a b S R,78.13775409,0.699968128
L a b S,78.11366892,0.700060609
L b H S R,78.11221525,0.700066191
b R,78.07434549,0.700211603
a b R Day,78.04108831,0.700339303
a R G B Day,77.92110163,0.700800026
b H S,77.90888511,0.700846934
L S G,77.87795563,0.700965697
L a b H S B,77.82801446,0.70115746
L a b H B,77.8151766,0.701206755
L H G Day,77.74089369,0.701491985
a H R G Day,77.73786667,0.701503608
L b S R G,77.70409094,0.701633299
L b H S V R G,77.69608266,0.701664049
L a H V R G Day,77.68205286,0.701717921
L b V G Day,77.65446549,0.70182385
a b H V R B Day,77.64565566,0.701857678
b S R G,77.63969694,0.701880558
H S V R G,77.54286882,0.702252357
a H S V B,77.54015369,0.702262782
a b H R Day,77.49453364,0.702437953
b H V,77.48852109,0.70246104
L H S V G,77.47600228,0.70250911
L a b H S G,77.46876555,0.702536897
L H V Day,77.46044929,0.70256883
L b S V B,77.45545718,0.702587998
b V,77.44384252,0.702632596
S B Day,77.42090424,0.702720674
H S G,77.40977404,0.702763412
b S V G,77.36586415,0.702932016
b S G,77.33204143,0.703061888
L b S V,77.29835705,0.703191228
L b H S V G,77.28909989,0.703226774
L a H S Day,77.26833323,0.703306513
a R Day,77.24877921,0.703381597
b S V R G,77.23972327,0.703416369
b G,77.23935997,0.703417764
H S V,77.10501241,0.70393363
L b S V R,77.10160855,0.7039467
b S V G B,77.0910943,0.703987072
L b S G,77.08972016,0.703992348
L a b V R G Day,77.07921615,0.704032682
L a b H S R,77.06772583,0.704076802
b V G Day,77.02688488,0.704233622
L b G,77.00536935,0.704316237
a H S R B Day,76.99455116,0.704357777
L b S R,76.947913,0.704536857
L b S V G,76.9444673,0.704550088
L a R G B Day,76.90604818,0.704697609
a H V B Day,76.87099314,0.704832212
b H S R,76.84173914,0.704944541
H V R B Day,76.83637526,0.704965137
a b H S V R,76.82511235,0.705008385
L a V G Day,76.81869859,0.705033012
b H S V R,76.80788559,0.705074532
L b H V R G B Day,76.79120046,0.705138599
L a H R G B Day,76.73774608,0.705343852
L a H V R Day,76.72808569,0.705380946
L a H V R B Day,76.71659432,0.70542507
b H S V G B,76.69272483,0.705516724
L H S V,76.69241638,0.705517908
b S V,76.66544791,0.705621461
a H V Day,76.65818986,0.70564933
a H R Day,76.6576239,0.705651504
a H V R G Day,76.64960462,0.705682296
b H S G B,76.64960022,0.705682313
L b,76.63780251,0.705727613
L b S V G B,76.60963033,0.705835788
a H G B Day,76.57923443,0.705952502
a H V R B Day,76.55769529,0.706035207
V B Day,76.52829869,0.706148084
L b S,76.52688514,0.706153512
a b H S V,76.52075559,0.706177048
L H R G B Day,76.52025268,0.706178979
H S R G,76.51345046,0.706205098
L b H G Day,76.50665338,0.706231197
L a b Day,76.50135338,0.706251548
L b H S V R,76.47602607,0.706348799
b H S R G,76.39765222,0.706649738
a b H S G B Day,76.39575102,0.706657038
b S V R,76.33652746,0.706884444
L a b H V R B Day,76.25548375,0.707195634
L V G B Day,76.25494843,0.707197689
L b H S,76.23628961,0.707269335
b V R G Day,76.15430112,0.707584153
L a H S B Day,76.05425686,0.707968301
a b H S V R G B,76.03731625,0.708033349
a V R B Day,76.03662873,0.708035989
L b H V G Day,76.02237168,0.708090733
L b H S R G,76.00541209,0.708155854
a H R B Day,75.95957314,0.708331866
a b H V G B Day,75.95555446,0.708347297
a R B Day,75.92257452,0.708473932
L a H Day,75.91859993,0.708489194
a R G Day,75.90589397,0.708537982
a V R G Day,75.8681754,0.708682813
b H G B Day,75.85228932,0.708743812
L b H S R B,75.85113191,0.708748256
L a H R Day,75.84162792,0.708784749
L b S R Day,75.81010867,0.708905776
b H S G,75.80134103,0.708939442
b V R Day,75.79186759,0.708975818
a b H R B Day,75.72408406,0.709236092
a b H S R,75.70661165,0.709303182
L a H V G B Day,75.67346546,0.709430456
L b H V R B Day,75.64128719,0.709554014
G B Day,75.62402607,0.709620293
b H V G Day,75.61777493,0.709644296
L b H V G B Day,75.55892763,0.709870257
a b H G Day,75.55224676,0.70989591
L V R B Day,75.54970009,0.709905688
a V Day,75.54042564,0.7099413
L a R B Day,75.47707427,0.710184556
a S V R G B Day,75.44137168,0.710321646
L a b H V R Day,75.41438968,0.710425251
L b H S V B,75.38765346,0.710527912
a H S R G Day,75.34711273,0.71068358
L a R G Day,75.34130457,0.710705882
L R G B Day,75.32861108,0.710754622
L B Day,75.31512635,0.7108064
a b H V G Day,75.31468824,0.710808082
a b H B Day,75.29747886,0.710874163
L a b H R G Day,75.28180966,0.710934329
L a V R G Day,75.28160426,0.710935118
L a b V G B Day,75.24727605,0.711066931
L a S Day,75.219852,0.711172233
b H S V,75.16873281,0.711368519
a S G Day,75.15457511,0.711422882
L b V B Day,75.1113135,0.711588997
L H R B Day,75.10351911,0.711618926
L b H V B Day,75.06656821,0.711760809
a H R G B Day,75.05625012,0.711800428
L a b H R Day,75.0369324,0.711874604
S V R B Day,75.00439457,0.711999542
L a V G B Day,75.00142513,0.712010944
L a b H V Day,74.90730437,0.712372347
a G B Day,74.90049272,0.712398503
