Feature Set,Model,MSE,R2 Score
B,Linear Regression,129.69107269719132,0.502014668419071
B,Ridge Regression,129.63154673109076,0.5022432350994892
B,Lasso Regression,129.48327686693415,0.5028125589236345
B,Polynomial Regression,132.1750231991848,0.492476842193715
B,Elastic Net,129.09600048354625,0.5042996154664176
B,Huber Regressor,138.00571589613182,0.470088258495166
B,Quantile Regressor,169.96798441816674,0.3473601434676391
B,Random Forest,169.36392129411746,0.3496796136429522
"L,a",Linear Regression,94.6773341834216,0.636459760290419
"L,a",Ridge Regression,93.136494216614,0.6423762484944715
"L,a",Lasso Regression,92.50366355541783,0.6448061797156137
"L,a",Polynomial Regression,110.09725565502308,0.5772506370463205
"L,a",Elastic Net,92.79043235638257,0.6437050502896207
"L,a",Huber Regressor,92.60314905727132,0.6444241771644923
"L,a",Quantile Regressor,160.00615829161973,0.3856113752880659
"L,a",Random Forest,113.01133717647055,0.566061201855973
"L,b",Linear Regression,98.0582268319946,0.623477872550388
"L,b",Ridge Regression,92.5639146146742,0.6445748288361902
"L,b",Lasso Regression,91.85808682942046,0.6472850530356561
"L,b",Polynomial Regression,86.19550159332098,0.6690281408809411
"L,b",Elastic Net,91.94031482616623,0.6469693155267198
"L,b",Huber Regressor,101.66510716410633,0.6096282415711364
"L,b",Quantile Regressor,157.95521948615283,0.393486531379012
"L,b",Random Forest,99.26988563235312,0.6188253679723102
"L,H",Linear Regression,119.8743347683635,0.5397087933180493
"L,H",Ridge Regression,118.0490998889194,0.5467172957365256
"L,H",Lasso Regression,113.75749144261323,0.5631961327968007
"L,H",Polynomial Regression,110.28205662985434,0.5765410417533376
"L,H",Elastic Net,111.62553172962657,0.5713823914382702
"L,H",Huber Regressor,133.72643374194112,0.4865197652917719
"L,H",Quantile Regressor,157.95521948615283,0.393486531379012
"L,H",Random Forest,121.63007127941174,0.5329671494219848
"L,S",Linear Regression,98.41409272729209,0.6221114254065523
"L,S",Ridge Regression,96.37046672124858,0.629958501948383
"L,S",Lasso Regression,94.6237420854911,0.6366655422159055
"L,S",Polynomial Regression,102.61136938837589,0.6059948017536123
"L,S",Elastic Net,90.45562420778643,0.6526702025231228
"L,S",Huber Regressor,100.01259211846545,0.6159735376337834
"L,S",Quantile Regressor,157.41529593350913,0.39555971963938985
"L,S",Random Forest,105.64181217647075,0.5943585647692055
"L,V",Linear Regression,97.53348115629,0.6254927810855464
"L,V",Ridge Regression,103.98885866860483,0.6007055444308232
"L,V",Lasso Regression,110.521491023801,0.575621666089449
"L,V",Polynomial Regression,109.41456238656505,0.5798720297651155
"L,V",Elastic Net,110.94264439411512,0.5740045293320718
"L,V",Huber Regressor,98.20175466897426,0.622926757072638
"L,V",Quantile Regressor,158.24862441793022,0.3923599206632552
"L,V",Random Forest,121.1711258676472,0.534729399346378
"L,R",Linear Regression,100.26518249006665,0.6150036458953623
"L,R",Ridge Regression,101.66115309151631,0.6096434243443904
"L,R",Lasso Regression,108.1522772916406,0.584718928232933
"L,R",Polynomial Regression,120.15093184302826,0.5386467210945984
"L,R",Elastic Net,111.53508509933692,0.5717296867010702
"L,R",Huber Regressor,99.38583754888836,0.6183801379930807
"L,R",Quantile Regressor,157.95521948615283,0.393486531379012
